Rorimu Kogrimu
Rainey Leonhart
Raven Darkholmes
Rael Jgnewesfv
Ryllandras Bloodfang
Rose Syvinsnoewyn
Rkaneus Winds
Rasmus Vox
Rikku Atomicha
Riton Alorac
Rohin Synslayer
Rayne Valentine
Ryuji Gakunin
Rubh Dakwhil
Rei Kita
Rei'liana Kha
Ryu Tsuki
Rai Dolabnha
Rivin Darkhart
Rhaya Tiziri
Runir Bloodpaw
Rune Lund
Rin Takanashi
Rowena Dawn
Raigeki Kai
Radiant Heart
Razor Abysa
Rhag Dholl
Ryuko Murasaki
R'inhae Rhid
Reina Vogel
Rai Frenchfrai
Rowan Telvan
Roke Olkund
Raeviane Aurelie
Ronia Atoel
Rindelor Nawtyit
Rainer Lighthawk
Ren Dre-ki
Reh Lightbringer
Raven Raijin
Rhaegar Gwyn
Roslynn Cicely
Ryn Aegis
Ritzelgold Merryfoot
Riku Sakai
Reze Mara
Reyna Alunae
Rini Rini
Runa Solvi
Rem Djt-nong
Rue Ryndarien
Ren Ghar
Rabbi Mc'rabbitus
Rika Paprika
Rae Lucern
Richard Gee
Ririquwe Leleguwe
R'aine Romero
River Blackthorn
Ravi Lavellan
Rei Sohma
Reginald Lightheart
R'xule Vimba
Raz Rysto
Reven Wraithblades
Rhaya'a Lihzeh
Rheo Statik
R'aktrin Arian
Radigost Yorvasch
Rion Krauz
Revna Dex
R'aliam Tia
