Vachon Nazzir
Voland L'enchante
Valliant Bear
Violet Miyumi
Vjera Kiselyov
Vivia Hana
Violet Cloverfield
Valerian Durand
Violet Murasaki
Vash The'stampede
Veris Dareiel
Vee Li
Vidar Rehw-marouc
Vyncent Reed
Voyce Walker
Vedek Duck
Valentyne Gucuma
Valtiore Zepure
V'azih Tia
Vexis Squarepants
Viola Underwood
Viserys Targaryean
Vinei Jan
Vernox Arvaneer
Vamkinja Urich
Valo Smooth
Valhra Elst-ven
Valindra Devries
Vera Vanren
Vivian Hallows
Vorun Ysir
Veridian Mage
Vanja Blackwood
Vyncento Carmina
Vamp' Tetracyline
Vakari Lionsong
Violet Moonshadow
