Lucere De'vil
Liokki Rehw-dvre
Lynei Nightwind
Lillian Eve
Legato Blu'summers
Loveday Valentine
Lily Faye
Little-bad Wolf
Lunar Moonbeam
Lilac Nightmare
Leviathan Lunaris
Luruca Ruca
Labi Lionne
Lovella Savoy
Leo Rose
Lutz Lampard
Laila Lostlight
Legion Pendragon
Lustre Solaris
Lorsea Stargrazer
Lucia Yamagishi
Lenora Hope
Lalanxe Deaninte
Lee Thality
Lumeria De'borel
Lord Acomitzli
Lili Lilbit
Lyre Ymir
Luna Pyrelight
Lily Tenshi
Luna Solterra
Luxe Brightwisher
Lali Who
Lali What
Luca Sol
Lilac Arda
Luna Cosmos
Leo Fire
Liv Morgan
Lecarra Troy
Lilizzi Lizzi
Lorenzovon Matterhorn
Lilja Shadoehart
Lux Suri
Lavender Fish
Lucien Calixtus
Layna Lito
Lalanu Lanu
Lambert Glover
Lucious Lunaire
Lila Lux
Lyh'nn Tayuun
Lemony Thiccet
Lojt Rehw-gilda
Lord Mfalme
Lysthia Sunrisen-nyxt
Leandro Corinaute
Linia Aevis
Luna Hoku
Layton Quieten
Livid Reptar
Lamiya Obinata
Lexa Dri
Luna Celestial
Liehild Relanah
Liilii Lii
Lady Gagafell
Luciana Xhula
Local Mao
Lillis Saphyr
Luna South
Lalhi Lahli
Lilaesa Sovet
Lovisa Quinn
Leih Awandah
Leiko Lune
Lun'ir Sun
