Rockii Daiyo
Reh Lightbringer
Rocky Chicken
Rae Lucern
Rorimu Kogrimu
Rainey Leonhart
Raven Darkholmes
Ryllandras Bloodfang
Rose Syvinsnoewyn
Rkaneus Winds
Rasmus Vox
Riton Alorac
Regit Osian
Rohin Synslayer
Rayne Valentine
Ryuji Gakunin
Rei Kita
Rei'liana Kha
Rubh Dakwhil
Ryu Tsuki
Rai Dolabnha
Rivin Darkhart
Ribbon Tyata
Rhaya Tiziri
Runir Bloodpaw
Rin Takanashi
Rune Lund
Rowena Dawn
Raigeki Kai
Radiant Heart
Razor Abysa
Rhag Dholl
Ryuko Murasaki
Reina Vogel
Rai Frenchfrai
Ronia Atoel
Rindelor Nawtyit
Rowan Telvan
Roke Olkund
Rainer Lighthawk
Raeviane Aurelie
Raging Ghost
Raven Raijin
Rhaegar Gwyn
Roslynn Cicely
Ryn Aegis
Remmie Urich
Ritzelgold Merryfoot
Riku Sakai
Reze Mara
Reyna Alunae
Rini Rini
Runa Solvi
Rue Ryndarien
Ren Ghar
Rabbi Mc'rabbitus
Rika Paprika
Ririquwe Leleguwe
Richard Gee
R'aine Romero
River Blackthorn
Rei Sohma
Ravi Lavellan
Reginald Lightheart
R'xule Vimba
Raz Rysto
Reven Wraithblades
Rhaya'a Lihzeh
Rheo Statik
R'aktrin Arian
Radigost Yorvasch
Rion Krauz
Revna Dex
