Bobby Demonfang
Bataar Moks
Brain Rot
Blackjack Rooks
Buttered Stuff
Basren Jashem
Bearded Mushu
Bera Shiro
Bela Kalli
Bayar Noykin
Bofa Dese
Boss Bowser
B'raht Magol
Bowls-o Noods
Bonez Schroeder
Breanainn Conn
Bree Chi
Blue Ryokyo
Belle Reve
Bahamut's Lance
Baonnn Vuon
Barrett Marshall
Bat Knight
Blossoming Camellia
Blade Belson
Biggie Smols
Banri Khatayin
Baz' Peppercorn
Bird Tho
Bartu Mankhad
Bltz Beef
Bojana Icefang
Big Boy
Baden Boujee
Blaque Katt
Birgitte Sylverbeau
Bunny Elkrose
Bandin Allhope
Baz Drang
Bazdonax Dumaul
