Katla Laki
Kelgo Ralalgo
Kireina Tsuki
Kondai Higinzu
Kelsier Hathsin
Kaiji Archaius
Kirk Lazarus
Kolbi Tayalbi
Kou Kitamura
Kirbee Zephyr
Kaziem Tanzinite
Koruri Godo
Kyani Frostwyght
Koko Gesi
K'raika Hineko
Kandie Kaine
Kassy Belle
Kogyoku Kiba
Kaelyn Forte
Kadrix Dawson
Kehr Mhor
Kilyn Dazeiros
Kahli Walker
Kara James
Kisa Sohma
Karros Xaeyn
Kezira Lothaire
King Cold
Karylis Mindraev
Kitten Tiny-fluffs
K'lementine Tyata
Kains Haels
Khalan Kahkol
Kira Cainhurst
Kuro Noire
K'arleen Winters
Karna Stormbreaker
Kalidon Chaak
Kaethe Attala
Katana Todoroki
Keomi Tsudori
Kimiku Miku
Kyra Yates
Kris Luna
Kaiba Ackerman
Kyra Skylar
Kaylestera Yscaret
Kuon Shizaki
Kiane Delaine
Kukuro Yutsu
Kayda Autumn
Kenny Stanko
Kelonne Mevru
Kaizen Mercer
Kell Bloodfist
Kaneda Musou
Kana Yuki
Kaede Yumite
K'thal Nuoh
Kikira Kita
Kallisto Vayne
Kyne Icewind
Kelros Eastvale
Kosu Aliapoh
Kukki Chebukki
Kneecap Mafia
Kan Tsuna
Krin Kirin
Kuri Gugoza
Kai Haku
Kayn Dotharl
Kyu Hakuuchi
Kophi Bean
Kess Alcove
K'aida Emmi
Kat Mewrilah
Kojiro Ymir
Kitten South
Keth Revajak
Kaiyne Ardyn
Kino Kuri
Kaze Haru
Kiria Valentine
Kella Kisne
Kongnamul Gukbap
Kaybin Ro'kross
Kuro Okami
Kuroi Tsuki
Kyukanba Melanba
