Nikoru Tsuki
Neshina Thia
Nenrie Valstoc
Nick Shwangus
Nyx Blackheart
Nighean Shaw
Nicholas Wolfwood
Noelle Eleven
Ncvbn Cvbncvbn
Nashu Nelhaha
Nini Meowmeow
Nudi Ecrudi
Naomi Starlight
N'xia C'law
Nath Ornitier
Nivinya Fate
Nyke Vexkiller
Nashu Makaracca
Noel Shadoehart
Nynaeve Ranja
Naps Kupo
Nixxle Ebontide
Nyssa Kaede
Nemu Kurotsuchi
Niko Ryn
Norah Fairfield
Nova Kurusu
Nepenthe Mihris
Nero Tol'scaeva
Newtype Squeejays
Nikori Jannik
Niisha Addae
Niko Mizumon
Nocturne Eternalnight
Nah Nee
Naomi Nakai
Nuna Anbohlo
Nyata'a Ma'randru-jo
Nero Smiles
