Gordo Pantera
Godrick Sawyer
Ginger Rose
Gaia Vermilion
Gold Mary
Gem Bloodstone
Garrtrex Augus
Gagnon Smigg
Gan Bun
Gerralt Winterpaw
G'herkin Azura
Garwyn Fieldsworth
Gare Adose
Geas Plegia
Grifter Bragra
Gypsy Tonic
Gelure Muscadet
Genibo Riverbottom
Guyug Dalamiq
Gwyneth Berdaras
Galle Od
Get Berserk
Guy Anetto
Gigantus Dong
Gild Tsudori
Girl Mcgun
Galatea Toha
Grim Fang
Grant Wise
Gloam Blackmoon
Grevie Carvalho
Gabriel Baines
Gawain Reeve
Gael Valstoc
Grishild Blackstone
Giffany Lumi
Gen'ryu Ardawesfv
Gabrielle Speare
Gtenpe Tia
