Rorimu Kogrimu
Rainey Leonhart
Raven Darkholmes
Rael Jgnewesfv
Rowan Telvan
Raven Alvia
Riton Alorac
Rose Syvinsnoewyn
Rkaneus Winds
Rasmus Vox
Roll Dra
Rosie Reign
Reven Wraithblades
Ryllandras Bloodfang
Regit Osian
Reyn Nieve
Rayne Valentine
Rukari Kitsune
Ryuji Gakunin
Rubh Dakwhil
Rouge Eryut
Rei Kita
Rei'liana Kha
Ryu Tsuki
Rosie Lily
Rai Dolabnha
Rivin Darkhart
Razor Abysa
Runir Bloodpaw
Radiant Heart
Rin Takanashi
Rael Feywood
Rowena Dawn
Rune Lund
Rare Ninetytwo
Rhag Dholl
Ryuko Murasaki
Reina Vogel
Rai Frenchfrai
Roke Olkund
Rocky Chicken
Raeviane Aurelie
Ronia Atoel
Rindelor Nawtyit
Rainer Lighthawk
Roland Murva
Ren Dre-ki
Reh Lightbringer
Remmie Urich
Raven Raijin
Rhaegar Gwyn
Ryn Aegis
Ritzelgold Merryfoot
Riku Sakai
Reze Mara
Reyna Alunae
Rini Rini
Runa Solvi
Rue Ryndarien
Reese Puff
Ren Ghar
Rohin Synslayer
R'aliam Tia
Rabbi Mc'rabbitus
Rika Paprika
Rae Lucern
Richard Gee
Ririquwe Leleguwe
R'aine Romero
River Blackthorn
Ravi Lavellan
Rei Sohma
Raine Higashi
Rheo Statik
Rhaya Tiziri
R'xule Vimba
Raz Rysto
Reginald Lightheart
R'aktrin Arian
Rhaya'a Lihzeh
Radigost Yorvasch
Rion Krauz
Revna Dex
