Bobby Demonfang
Bataar Moks
Brain Rot
Blackjack Rooks
Buttered Stuff
Basren Jashem
Bearded Mushu
Bera Shiro
Brac Dawg
Bela Kalli
Bayar Noykin
Boss Bowser
B'raht Magol
Bofa Dese
Bowls-o Noods
Breanainn Conn
Bonez Schroeder
Bree Chi
Blue Ryokyo
Belle Reve
Bahamut's Lance
Baonnn Vuon
Bradelz X'o
Barrett Marshall
Bat Knight
Biggie Smols
Banri Khatayin
Baz' Peppercorn
Bird Tho
Bartu Mankhad
Bltz Beef
Bojana Icefang
Big Boy
Baden Boujee
Blaque Katt
Birgitte Sylverbeau
Bunny Elkrose
Bandin Allhope
Bazdonax Dumaul
