Bataar Moks
Biggie Smols
Birth Defect
Blackjack Rooks
Bahamut's Lance
Bera Shiro
Bean Burrito
Brunnhildr Dragonborn
Bella Tanya
Blythe Brightwood
Bofa Dese
Bowls-o Noods
Boss Bowser
Brain Rot
Breanainn Conn
Beatin Dubois
Bird Tho
Bc Gotgame
Bleiswys Ostornwyn
Bearded Mushu
Bree Chi
Bebepolo Pipipolo
Byford Ceruleum
Bradelz X'o
Bela Kalli
Baonnn Vuon
Blossoming Camellia
Big Boy
Bazdonax Dumaul
Baz' Peppercorn
Baby Puppy
Bojana Icefang
Bree Rose
Bonez Schroeder
Baka Hoku
Bunny Elkrose
Baka Brynd
