Valliant Bear
Violet Miyumi
Vorun Ysir
Vivia Hana
Vovovivo Varvarossa
Valerian Durand
Vjera Kiselyov
Violet Murasaki
Veris Dareiel
Vanja Blackwood
Vee Li
Venra Selrost
Vivian Waffles
Vinei Jan
Vyncent Reed
Voyce Walker
Vidar Rehw-marouc
Vedek Duck
Valentyne Gucuma
Valtiore Zepure
V'azih Tia
Valtemont Galvus
Viola Underwood
Vamp' Tetracyline
Vexis Squarepants
Vachon Nazzir
Viserys Targaryean
Vernox Arvaneer
Vamkinja Urich
Valo Smooth
Varin Apelido
Viri Sovari
Valhra Elst-ven
Valindra Devries
Vera Vanren
Vivian Hallows
Veridian Mage
Victoria Meezer
Voland L'enchante
Vash The'stampede
Vakari Lionsong
Violet Moonshadow
