Minato Tsuki
Milo Brewer
Moonlit Elder
Myth Zxa
Merkaba Kimahri
Mikh'a Molkot
Merc Ury
Monday Sunday
Mini Alto
Mrs Firefly
Mio Haruhime
Myke Hawk
Mochi Creme
Myooki Mooo
Miko Nii
Mio Mizuno
Mash Masuru
Miki Miyasaki
Minaa Mihgo
Mori Aisuru
Lenora Hope
Lutz Lampard
Legion Pendragon
Lorsea Stargrazer
Little-bad Wolf
Lalanxe Deaninte
Lucere De'vil
Lumeria De'borel
Lepus Rex
Lord Mfalme
Lali Who
Luna Solterra
Lali What
Liodius Dragonbane
Lyna Ankhazone
Licht Bach
Lilizzi Lizzi
Lila Ives
Lucie Blackwillow
Lilith Lenoire
Lilja Shadoehart
Lux Suri
Lavender Fish
Layna Lito
Luz Bajhiri
Lylthia Emelkartha
Lucien Calixtus
Logical Truth
Lil Cal
Lonewoerd Sillvas
Lucious Lunaire
